电影名称,总票房,类型
合约男女,5952,爱情
巨额来电,5581,剧情
这就是命,5440,喜剧
昆塔：反转星球,5041,动画
引爆者,5024,动作
地球：神奇的一天,4778,纪录片
常在你左右,4684,犯罪
猪猪侠之英雄猪少年,4598,动画
喵星人,4476,奇幻
大耳朵图图之美食狂想曲,4329,动画
钢铁飞龙之再见奥特曼,4073,动画
毒。诫,4025,动作
有完没完,3742,喜剧
黑白迷宫,3311,剧情
重返·狼群,3299,纪录片
麻烦家族,3233,喜剧
玩偶奇兵,3171,动画
青禾男高,3041,爱情
阿唐奇遇,3040,动画
烽火芳菲,2944,战争
“吃吃”的爱,2750,喜剧
暴雪将至,2714,剧情
三只小猪2,2696,动画
二次初恋,2614,爱情
忠爱无言,2555,剧情
血狼犬,2519,剧情
完美有多美,2503,喜剧
天生不对,2429,爱情
嘉年华,2261,剧情
邹碧华,2072,剧情
相爱相亲,1826,剧情
相声大电影之我要幸福,1790,喜剧
美好的意外,1762,奇幻
极致追击,1754,动作
缉枪,1645,犯罪
抢红,1625,动作
健忘村,1605,喜剧
豆福传,1593,动画
我的爸爸是国王,1571,动画
神秘家族,1545,惊悚
提着心吊着胆,1369,喜剧
上海王,1365,爱情
情遇曼哈顿,1348,爱情
临时演员,1294,爱情
碟仙诡谭2,1280,惊悚
守边人,1270,剧情
小猫巴克里,1224,动画
兄弟，别闹！,1209,喜剧
六年，六天,1162,剧情
怨灵2,1143,惊悚
你若安好,1139,剧情
中国推销员,1121,剧情
咕噜咕噜美人鱼2,1073,动画
捍卫者,1032,战争
推理笔记,1022,剧情
异兽来袭,1011,科幻
美容针,1006,爱情
仙球大战,982,喜剧
我是马布里,890,剧情
那一场呼啸而过的青春,877,爱情
以爱为名,872,爱情
时间去哪儿了,854,剧情
萤火奇兵,799,动画
秘果,796,爱情
我是医生,795,剧情
不成问题的问题,777,剧情
会痛的十七岁,765,爱情
玛格丽特的春天,714,爱情
不期而遇,714,爱情
惊魂绣花鞋,594,惊悚
笔仙咒怨,581,惊悚
和田玉传奇,560,剧情
假如王子睡着了,546,爱情
恐怖理发店,503,惊悚
20:16,491,剧情
借眼,473,惊悚
通灵姐妹,471,惊悚
胡杨的夏天,467,剧情
S的秘密,458,爱情
指甲刀人魔,450,爱情
窦娥奇冤,447,剧情
八月,437,剧情
夜色撩人,377,爱情
诡域新娘,376,惊悚
青春逗,370,青春
深宫怨灵,370,惊悚
大象林旺之一炮成名,336,动画
蝴蝶公墓,334,爱情
皮绳上的魂,329,奇幻
爱的帕斯卡,329,爱情
一路逆风,328,纪录片
碟仙前传,315,惊悚
少年巴比伦,314,剧情
碟仙之毕业照,309,惊悚
超能龙骑侠,308,动画
花腰恋歌,306,爱情
小情书,291,爱情
怨灵宿舍之白纸女生,268,惊悚
恐怖电影院2,265,惊悚
恐怖毕业照2,244,惊悚
撞邪31号,236,惊悚
午夜惊魂路,233,惊悚
你在哪,231,悬疑
六人晚餐,228,爱情
因为爱情,225,爱情
乡关何处,222,剧情
心惊胆战,215,惊悚
夜半凶铃,214,惊悚
老兽,208,剧情
